,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition
0,221900.0,3,1.0,1180,5650,1.0,3
1,538000.0,3,2.25,2570,7242,2.0,3
2,180000.0,2,1.0,770,10000,1.0,3
3,604000.0,4,3.0,1960,5000,1.0,5
4,510000.0,3,2.0,1680,8080,1.0,3
5,1225000.0,4,4.5,5420,101930,1.0,3
6,257500.0,3,2.25,1715,6819,2.0,3
7,291850.0,3,1.5,1060,9711,1.0,3
8,229500.0,3,1.0,1780,7470,1.0,3
9,323000.0,3,2.5,1890,6560,2.0,3
10,662500.0,3,2.5,3560,9796,1.0,3
11,468000.0,2,1.0,1160,6000,1.0,4
12,310000.0,3,1.0,1430,19901,1.5,4
13,400000.0,3,1.75,1370,9680,1.0,4
14,530000.0,5,2.0,1810,4850,1.5,3
15,650000.0,4,3.0,2950,5000,2.0,3
16,395000.0,3,2.0,1890,14040,2.0,3
17,485000.0,4,1.0,1600,4300,1.5,4
18,189000.0,2,1.0,1200,9850,1.0,4
19,230000.0,3,1.0,1250,9774,1.0,4
20,385000.0,4,1.75,1620,4980,1.0,4
21,2000000.0,3,2.75,3050,44867,1.0,3
22,285000.0,5,2.5,2270,6300,2.0,3
23,252700.0,2,1.5,1070,9643,1.0,3
24,329000.0,3,2.25,2450,6500,2.0,4
25,233000.0,3,2.0,1710,4697,1.5,5
26,937000.0,3,1.75,2450,2691,2.0,3
27,667000.0,3,1.0,1400,1581,1.5,5
28,438000.0,3,1.75,1520,6380,1.0,3
29,719000.0,4,2.5,2570,7173,2.0,3
30,580500.0,3,2.5,2320,3980,2.0,3
31,280000.0,2,1.5,1190,1265,3.0,3
32,687500.0,4,1.75,2330,5000,1.5,4
33,535000.0,3,1.0,1090,3000,1.5,4
34,322500.0,4,2.75,2060,6659,1.0,3
35,696000.0,3,2.5,2300,3060,1.5,3
36,550000.0,4,1.0,1660,34848,1.0,1
37,640000.0,4,2.0,2360,6000,2.0,4
38,240000.0,4,1.0,1220,8075,1.0,2
39,605000.0,4,2.5,2620,7553,2.0,3
40,625000.0,4,2.5,2570,5520,2.0,3
41,775000.0,4,2.25,4220,24186,1.0,3
42,861990.0,5,2.75,3595,5639,2.0,3
43,685000.0,3,1.0,1570,2280,2.0,3
44,309000.0,3,1.0,1280,9656,1.0,4
